Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1667.4257861139859,OUT049
FDW14,1569.154896856324,OUT017
NCN55,1831.1415367556515,OUT010
FDQ58,2498.1177286511106,OUT017
FDY38,4693.916014741072,OUT027
FDH56,1949.368813727317,OUT046
FDL48,766.2630291687641,OUT018
FDC48,3039.8311149973174,OUT027
FDN33,1581.2416465199278,OUT045
FDA36,2959.132260675009,OUT017
FDT44,1966.1055492608982,OUT017
FDQ56,1526.1195608207775,OUT045
NCC54,1831.1415367556515,OUT019
FDU11,1990.746073046161,OUT049
DRL59,807.1058061387702,OUT013
FDM24,2484.8950313279674,OUT049
FDI57,2980.7005336171655,OUT045
DRC12,2959.132260675009,OUT018
NCM42,3191.1978340212036,OUT027
FDA46,1026.8871332455728,OUT010
FDA31,2918.953888554356,OUT013
NCJ31,3962.8734031910044,OUT035
FDG52,755.8614137633333,OUT046
NCL19,200.94607840461555,OUT019
FDS10,2959.132260675009,OUT035
FDX22,1819.1726941579927,OUT010
NCF19,755.8614137633333,OUT035
NCE06,2511.9909549282993,OUT046
DRC27,4006.4700369286675,OUT046
FDE21,1937.8280332934717,OUT035
NCR42,-1023.6252724125875,OUT019
FDX51,2959.132260675009,OUT018
NCR06,755.8614137633333,OUT018
FDU31,4678.408159348235,OUT027
FDU59,2511.9909549282993,OUT017
FDR03,4622.883794260492,OUT027
FDS49,3001.168950186646,OUT027
FDD48,-33.701373186864004,OUT010
NCF18,2959.132260675009,OUT017
NCD43,3179.8185315595324,OUT027
NCD54,2351.7562200305815,OUT018
FDY19,-4.893640362768211,OUT010
NCY54,2895.461534859949,OUT017
NCL19,2386.551068782385,OUT018
FDP23,1831.1415367556515,OUT010
FDC26,1886.5807556020416,OUT013
FDR14,-1023.6252724125875,OUT010
NCS41,2959.132260675009,OUT035
FDF41,4008.567616015756,OUT035
FDU34,2004.4910467823775,OUT046
DRH11,975.0616817094036,OUT046
FDM03,1640.9545298494083,OUT013
FDS31,2959.132260675009,OUT017
FDJ20,1990.746073046161,OUT017
FDV44,4305.299031659011,OUT027
FDG02,2959.132260675009,OUT049
FDA09,2939.5154792447456,OUT013
FDT04,755.8614137633333,OUT013
FDL58,1831.1415367556515,OUT019
FDE52,1577.1894834505306,OUT045
FDW12,2386.551068782385,OUT035
FDL51,3531.861301940161,OUT017
NCY42,3369.52919976626,OUT027
FDR07,1581.2416465199278,OUT017
FDN40,2496.052386159741,OUT045
FDB35,3166.4724562733227,OUT027
FDA22,2524.030232311906,OUT017
NCL06,4008.567616015756,OUT046
FDI35,2959.132260675009,OUT013
NCW42,3531.861301940161,OUT045
NCX06,2943.088070523127,OUT049
FDC37,3182.045269976038,OUT027
FDZ14,1990.746073046161,OUT018
DRG49,4006.4700369286675,OUT049
NCG06,4008.567616015756,OUT045
DRC36,2895.461534859949,OUT045
FDV21,40.639937308290925,OUT019
FDB53,2470.6113196728425,OUT046
DRP47,1831.1415367556515,OUT019
FDA14,2408.2270029189394,OUT013
DRC24,2496.052386159741,OUT035
FDW21,1583.4038062921713,OUT018
NCH29,1583.4038062921713,OUT046
FDU58,2959.132260675009,OUT013
FDY27,2933.3646309084324,OUT017
FDV56,1687.9643595227162,OUT035
FDT59,3534.5832824985946,OUT046
FDB23,3531.861301940161,OUT046
FDR49,755.8614137633333,OUT045
FDB03,1831.1415367556515,OUT010
FDN39,2524.030232311906,OUT045
FDX02,4678.408159348235,OUT027
FDQ16,3179.8185315595324,OUT027
FDU35,1583.4038062921713,OUT018
NCT29,1990.746073046161,OUT013
FDZ27,755.8614137633333,OUT046
FDN57,2105.958533962548,OUT017
FDA03,2424.7512280230817,OUT018
FDZ36,2959.132260675009,OUT045
NCU05,1478.158366953922,OUT013
FDT39,2477.9418028707987,OUT018
FDK60,1581.2416465199278,OUT017
FDZ25,2773.405790093207,OUT017
FDG12,1990.746073046161,OUT046
DRB01,1026.8871332455728,OUT019
NCC43,4752.199309969541,OUT027
FDX13,1831.1415367556515,OUT019
FDM22,892.0520977890375,OUT049
FDJ03,2323.6659766741236,OUT027
FDU14,4008.567616015756,OUT018
FDB33,606.8121358599301,OUT010
FDP27,2959.132260675009,OUT046
FDO38,-1015.0895997753508,OUT010
FDE28,4682.022674312259,OUT027
FDO27,1581.2416465199278,OUT035
DRL23,3179.8185315595324,OUT027
FDS28,934.2060729625214,OUT046
FDX24,1579.1204493235464,OUT013
FDZ02,1581.2416465199278,OUT035
FDL46,1949.368813727317,OUT045
FDS60,4305.299031659011,OUT027
NCO06,755.8614137633333,OUT017
FDO16,1520.102086905748,OUT035
FDC60,1569.154896856324,OUT049
FDA48,3531.861301940161,OUT018
FDZ36,4305.299031659011,OUT027
FDK27,1988.3096480298043,OUT045
FDW23,755.8614137633333,OUT018
FDM14,1746.1308353233972,OUT018
FDM14,1675.4138275186735,OUT013
FDW60,2933.3646309084324,OUT018
FDE21,1937.8280332934717,OUT013
NCM42,1694.1244568837708,OUT035
FDY59,-277.3200056381332,OUT010
DRI49,1478.158366953922,OUT049
FDT28,570.0540378290092,OUT019
FDQ22,755.8614137633333,OUT018
FDR60,1148.008011132986,OUT049
FDC50,-273.41235697101087,OUT019
FDV24,2484.8950313279674,OUT013
DRF48,1026.8871332455728,OUT010
FDQ47,755.8614137633333,OUT046
DRN36,1583.4038062921713,OUT049
NCY06,2010.368656737121,OUT035
FDE52,1577.1894834505306,OUT035
NCB54,2010.368656737121,OUT045
NCF31,2496.052386159741,OUT035
FDJ08,4305.299031659011,OUT027
NCC07,1638.9378183378874,OUT017
NCD19,2323.6659766741236,OUT027
FDL46,1985.660844120194,OUT049
FDM20,4006.4700369286675,OUT045
NCI06,1026.8871332455728,OUT010
DRM11,4008.567616015756,OUT035
NCH07,2510.0239156726147,OUT018
FDS23,2018.5332552678121,OUT013
FDO49,763.329798284231,OUT018
FDS35,1104.6805988056894,OUT049
DRK39,1491.099753900269,OUT045
DRI39,986.2180089838097,OUT049
FDV04,2510.0239156726147,OUT017
NCN14,2959.132260675009,OUT035
FDH08,4080.220562115164,OUT013
FDS20,2959.132260675009,OUT046
FDV40,1140.8224415587895,OUT049
FDZ48,-137.10414463792193,OUT010
FDS24,3166.4724562733227,OUT027
FDK44,2912.6321095554863,OUT049
FDS48,2473.096465534465,OUT045
FDK26,1026.8871332455728,OUT010
FDD23,2959.132260675009,OUT045
NCH54,2511.9909549282993,OUT017
NCP14,-263.56090394828266,OUT010
FDM60,-1023.6252724125875,OUT010
FDV24,2480.366829956693,OUT017
FDH08,3534.5832824985946,OUT018
FDS12,3237.5132701541943,OUT027
FDR39,4305.299031659011,OUT027
FDP12,2323.6659766741236,OUT027
DRF60,4726.548626817726,OUT027
FDC09,1590.9644971223943,OUT035
FDF50,2977.8194552719046,OUT018
FDG28,4006.4700369286675,OUT035
NCE19,934.2060729625214,OUT017
NCM53,-248.35779125677425,OUT010
NCN18,1777.9129873285908,OUT049
FDF32,3023.653336464713,OUT035
FDF11,4290.805549792173,OUT013
DRI59,3531.861301940161,OUT049
NCG54,2773.405790093207,OUT035
FDM44,1583.4038062921713,OUT046
FDT57,3716.508348451819,OUT018
FDV24,2480.366829956693,OUT046
FDI50,1831.1415367556515,OUT019
FDS09,789.1130565728031,OUT035
NCC31,4020.1065606543857,OUT027
FDQ07,1831.1415367556515,OUT019
FDC22,2959.132260675009,OUT017
FDZ56,2773.405790093207,OUT046
FDZ40,-1023.6252724125875,OUT019
FDS46,3225.784773536201,OUT027
DRD24,2105.958533962548,OUT045
FDV45,2959.132260675009,OUT017
FDL26,2498.1177286511106,OUT045
FDA56,1999.075804496742,OUT018
FDN27,1956.8615120425052,OUT046
FDM20,4006.4700369286675,OUT049
FDO16,1507.3107276594724,OUT017
FDL03,2959.132260675009,OUT035
FDE58,1949.368813727317,OUT046
FDI02,3205.3963963396695,OUT027
NCC55,-1023.6252724125875,OUT019
FDR03,3235.83648184289,OUT018
FDB14,1579.1204493235464,OUT017
FDR45,4313.04451159848,OUT013
NCN07,2026.9617001625875,OUT017
FDM51,-265.4489076971112,OUT019
FDT52,4752.199309969541,OUT027
FDL26,2496.052386159741,OUT046
NCZ42,3782.7760051426662,OUT046
DRI47,513.7839309144643,OUT019
FDW40,2113.846028935008,OUT013
FDN34,2773.405790093207,OUT046
FDS01,2933.3646309084324,OUT035
NCG55,1937.8280332934717,OUT045
FDC11,1573.3762057257304,OUT035
FDX35,3531.861301940161,OUT018
NCB06,2511.9909549282993,OUT046
FDR09,1831.1415367556515,OUT019
FDC53,1581.2416465199278,OUT017
FDY45,4324.82037233387,OUT013
FDA22,626.1427452811087,OUT010
FDE02,1581.2416465199278,OUT035
FDW21,1583.4038062921713,OUT045
